Year,ISO_Code,Countries,Economic Freedom Summary Index,Rank,Government consumption,Transfers and subsidies,Government investment,Top marginal income tax rate,Top marginal income and payroll tax rate,Top marginal tax rate,State ownership of assets,Size of Government,Judicial independence,Impartial courts,Protection of property rights,Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Business costs of crime,Gender Legal Rights Adjustment,Legal System & Property Rights,Money growth,Standard deviation of inflation,Inflation: Most recent year, Freedom to own foreign currency bank accounts,Sound Money,Revenue from trade taxes (% of trade sector),Mean tariff rate,Standard deviation of tariff rates,Tariffs,Non-tariff trade barriers,Compliance costs of importing and exporting,Regulatory trade barriers,Black market exchange rates,Foreign ownership/investment restrictions,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to Trade Internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Regulatory Burden,Starting a business,Extra payments/bribes/favoritism,Licensing restrictions,Tax compliance,Business regulations,Regulation
2017,BWA,Botswana,7.37,49,3.68,8.81,7,9,9,9,3.34,6.37,5.45,5.31,6.81,8.33,5.83,3.07,7.81,6.06,5.57,0.95,5.88,9.36,8.35,9.34,10,9.26,1.03,8.48,5.59,5.04,5.54,9.39,7.47,10,6.39,5.38,10,7.26,7.44,8,9.57,10,9.19,10,4.78,6.36,10,3.78,10,7.49,4.22,6.67,8.46,4.83,9.26,8.65,7.01,7.9
2017,CAF,Central African Republic,5.23,151,9.44,9.58,4,3,,3,6.5,6.5,5.25,2.5,4.79,1.2,,0.51,4.97,,,0.7,2.73,8.45,9.04,9.18,0,6.67,0.89,6.4,6.18,4.49,3.28,2.28,2.78,10,,1.54,1.44,1.49,4.69,5,9.59,10,8.2,0,,,6,7.01,0,3.25,,1.11,7.66,,7.32,4.59,5.17,5.54
2017,CAN,Canada,8.08,8,3.97,7.11,8,5,5,5,8.34,6.48,8.68,6.12,8.4,10,9.17,3.65,8.97,8.76,6.87,1,7.85,8.99,9.53,9.68,10,9.55,9.73,9.2,2.08,7,5.91,9.89,7.9,10,7.02,7.69,5.53,6.75,7.91,10,9.87,10,9.96,8.9,6.19,7.41,8,8.27,10,8.13,4.56,9.78,9.95,6.78,6.85,8.53,7.74,8.61
2017,CHE,Switzerland,8.4,4,6.39,5.98,10,8,6,7,8.6,7.6,9.07,7.75,9.23,10,8.33,4.5,9.6,9.23,7.93,1,8.4,9.92,9.89,9.89,10,9.93,9.91,8.72,0,6.21,6.23,9.89,8.06,10,7.75,3.08,7.74,6.19,7.62,8,10,10,9.33,10,7.77,8.35,6,10,5,7.85,6.21,8,9.57,8.05,8.37,9.29,8.25,8.48
2017,CHL,Chile,7.89,13,6.38,8.5,10,7,7,7,8.99,8.17,6.46,4.7,7.01,7.5,7.5,5.29,9.07,7.99,5.21,0.91,6.44,9.1,9.47,9.56,10,9.53,9.79,9.79,9.76,9.78,7.15,6.83,6.99,10,7.57,3.08,9.07,6.57,8.34,8,8.82,9,8.61,6.67,3.37,8.35,10,2.52,1,5.32,3.94,7.78,9.75,5.96,7.74,6.68,6.97,6.97
2017,CHN,China,6.42,113,3.8,8.29,2,6,6,6,3.24,4.67,5.82,5.17,5.96,5,5.83,5.72,8.32,5.98,6.31,0.86,5.58,9.98,9.33,9.68,5,8.5,9.36,8.04,6.94,8.11,5.81,8.17,6.99,10,5.89,0,0.55,2.15,6.81,2,9.41,10,7.14,8.9,5.77,6.05,10,2.52,0,5.54,5.63,3.78,9.72,5.85,8.41,8.41,6.97,6.55
2017,CIV,Cote d'Ivoire,5.97,134,6.49,9.4,4,3,1,2,7.79,5.93,2.42,4.2,4.77,4.17,4.17,3.97,7.1,3.85,4.63,0.93,4.21,9.34,9.26,9.86,0,7.12,5.09,7.56,7.02,6.56,5.96,1.83,3.9,10,6.45,0.77,2.43,3.22,5.92,10,8.08,5,7.69,5.57,5.1,7.49,8,7.57,3,6.12,3.62,3.78,9.77,3.98,8.27,7.7,6.19,6.67
2017,CMR,Cameroon,5.84,140,7.72,9.57,7,5,4,4.5,5.94,6.95,3.37,4.06,5.16,5,3.33,2.17,3.47,5.31,4.32,0.59,3.2,9.86,9.55,9.87,0,7.32,3.84,6.36,6.29,5.5,5.05,0,2.53,10,5.69,1.54,0.55,2.6,5.15,5,6.5,10,7.17,7.23,4.92,6.82,8,7.01,10,7.33,4.06,3.33,9.27,2.94,8.69,3.01,5.22,6.57
2017,COD,"Congo, Dem. Rep.",5,157,9.81,8.85,8,5,3,4,3.99,6.93,2.27,3.04,3.7,2.5,1.67,0.97,5.9,3.56,5.74,0.9,3.11,8.07,2.69,1.7,5,4.37,7.79,7.82,7.65,7.75,4.41,0,2.21,10,5.71,0.77,0.33,2.27,5.56,0,10,3,4.33,1.67,5.05,6.64,8,10,3,5.73,3.25,0,9.48,2.75,8.9,6.12,5.08,5.05
2017,COG,"Congo, Rep. of",5.08,154,4.72,9.9,4,5,3,4,5.43,5.61,3.07,3.6,,5,3.33,3.01,4.39,,,0.66,3.1,7.58,5.46,9.91,0,5.74,9.35,7.62,7,7.99,4.03,0,2.01,10,,1.54,1.55,1.54,5.39,0,7.9,10,5.97,1.1,,,4,7.53,10,5.66,,1.11,7.61,,8.23,3.25,5.05,5.56
